Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB);Downloads;Rating;Rating Count
_AppLauncher - Evolve Launcher;_AppLauncher - Evolve Launcher v11959+1.1.9 -OpenSource;com.jarjarblinkz.EvolveLauncher;11959;2024-03-20 18:56 UTC;9;97.79;0;0
_AppLauncher - LightningLauncher;_AppLauncher - LightningLauncher v810+8.1.0 -OpenSource;com.threethan.launcher;810;2024-10-20 09:25 UTC;6;98.99;0;0
_Utility - File Explorer;_Utility - File Explorer v631+6.3 -OpenSource;com.marc.files;631;2024-04-26 14:29 UTC;0;00.00;0;0
_Utility - Shizuku;_Utility - Shizuku v1049+13.5.4.r1049.0e53409 -OpenSource;moe.shizuku.privileged.api;1049;2024-09-25 21:03 UTC;3;84.00;0;0
_Utility - Wireless ADB;_Utility - Wireless ADB v1+1.2 -OpenSource;tdg.oculuswirelessadb;1;2024-06-26 21:45 UTC;14;91.45;0;0
_Utility - XR Native Android File Manager;_Utility - XR Native Android File Manager v1+1.0.0 -OpenSource;com.anagan.xrnativeandroidfilemanager;1;2024-07-01 14:51 UTC;1;89.84;0;0
_Utility - XR Native Android Settings;_Utility - XR Native Android Settings v1+1.0.0 -OpenSource;com.anagan.xrnativeandroidsettings;1;2024-07-01 14:51 UTC;1;88.23;0;0
10 Seconds;10 Seconds v3+1.0 -VRP v76;com.ZynkSoftware.SecondsMatter;3;2025-04-29 20:46 UTC;107;95.08;0;0
100 Day Siege;100 Day Siege v13+0.1.3 -VRP v76;com.foundrysix.siege.metaquest;13;2025-05-01 16:21 UTC;715;87.68;0;0
1976;1976 v18+1.34 -VRP v76;com.IvanovichGames.game1976;18;2025-05-01 16:21 UTC;931;90.94;0;0
2048 World;2048 World v1+0.1 -VRP v76;com.DonCarrot.World2024;1;2025-05-01 16:21 UTC;0;00.00;0;0
2048 World (MR-Fix);2048 World (MR-Fix) v1+0.1 -VRP v76;com.mrf.DonCarrot.World2024;1;2025-05-01 16:21 UTC;74;89.24;0;0
2076 Midway Multiverse;2076 Midway Multiverse v40+1.5 -VRP v76;com.IvanovichGames.game2076demo;40;2025-05-01 16:21 UTC;4337;82.02;0;0
2MD- VR Football Unleashed ALLSTAR;2MD- VR Football Unleashed ALLSTAR v300027+1.8 -VRP v76;com.truantpixel.twomdquest;300027;2025-05-01 16:21 UTC;2120;86.30;0;0
4XVR Video Player;4XVR Video Player v10845+1.8.45 -VRP v76;cn.vr4p.oculus4xvrplayerov;10845;2025-05-16 12:58 UTC;338;98.71;0;0
51 Aliens TV;51 Aliens TV v6+0.51 -VRP v76;com.fiftyonealiens.fiftyonealienstvquest;6;2025-05-01 16:21 UTC;356;51.26;0;0
8 Ball Pool;8 Ball Pool v20+1.0 -VRP v76;com.sharpforkslabs.billiards;20;2025-05-26 13:00 UTC;170;94.07;0;0
9 Ball Pool VRX;9 Ball Pool VRX v1+1.0.0 -VRP v76;com.abstron.nine.ball.pool.vrx;1;2025-05-01 16:21 UTC;55;85.38;0;0
A Fishermans Tale;A Fishermans Tale v25+1.087 -VRP v76;com.innerspacevr.afishermanstale;25;2025-05-03 19:30 UTC;2268;89.15;0;0
A Fishermans Tale 2;A Fishermans Tale 2 v59+1.086 -VRP v76;com.innerspacevr.theseus;59;2025-05-02 11:34 UTC;2697;86.57;0;0
A Knight in the Attic;A Knight in the Attic v119+.119 -VRP v76;com.MightyYellStudios.WobblyKnightMaster;119;2025-05-02 11:34 UTC;264;62.90;0;0
A little journey;A little journey v200006+1 -VRP v76;com.EGames.Alittlejourney;200006;2025-05-02 11:37 UTC;737;59.13;0;0
A Lullaby of Colors;A Lullaby of Colors v1+1.2.2 -VRP v76;com.idumpling.a_lullaby_of_colors;1;2025-05-02 11:36 UTC;149;61.47;0;0
A lunar adventure;A lunar adventure v22+1.0 -VRP v76;com.pyromobile.moon;22;2025-05-02 11:37 UTC;144;54.90;0;0
A Persistent Illusion;A Persistent Illusion v17+2.1.7 -VRP v76;com.Ryanupinhere.APersistentIllusion;17;2025-06-29 10:08 UTC;156;89.98;0;0
A Rogue Escape;A Rogue Escape v104+1.0 -VRP v76;com.armorgames.nauticrawlVR;104;2025-05-02 11:37 UTC;1137;62.80;0;0
A102;A102 v54+1.0.4 -VRP v76;red.chesco.a102;54;2025-05-02 11:37 UTC;1144;40.23;0;0
AAA Driver;AAA Driver v8+0.6 -VRP v76;com.cosmolab.realracer;8;2025-06-11 21:19 UTC;827;81.10;0;0
Accounting+;Accounting+ v35+1.24.35 -QU;com.crowscrowscrows.AccountingPlus;35;2024-03-07 12:43 UTC;812;86.71;0;0
Accounting+;Accounting+ v35+1.24.35 -VRP v76;com.crowscrowscrows.AccountingPlus;35;2025-05-02 11:38 UTC;812;86.71;0;0
Acorn Assault VR- The Ride;Acorn Assault VR- The Ride v20+1.1.16 -VRP v74;com.hightalestudios.aavrride;20;2025-06-22 09:06 UTC;65;72.97;0;0
Acron- Attack of the Squirrels!;Acron- Attack of the Squirrels! v118295832+1.18.0.295832-release -VRP v76;com.resolutiongames.codenamelazarus;118295832;2025-06-18 20:40 UTC;226;93.70;0;0
Across the Valley;Across the Valley v31+1.2.1.4044 -VRP v76;com.fusionplay.acrossTheValley;31;2025-05-02 11:38 UTC;296;49.01;0;0
Action Hero;Action Hero v109160+1.00.109160 -VRP v76;com.fasttravelgames.solero;109160;2025-05-02 11:38 UTC;5728;86.25;0;0
Action Resort XR;Action Resort XR v476+0.4.76 -VRP v76;com.verseus.actionresort;476;2025-06-19 19:29 UTC;1530;85.10;0;0
Active Shooter Survival;Active Shooter Survival v9+21.5.24 -VRP v76;com.incitevr.activeshooter;9;2025-05-02 11:39 UTC;518;46.90;0;0
AFFECTED- The Manor - Complete Edition;AFFECTED- The Manor - Complete Edition v114+1.9 -VRP v76;com.fallen.manorquest;114;2025-05-02 11:37 UTC;1742;84.64;0;0
Agent Simulator;Agent Simulator v553+0.2 -VRP v76;com.StudioGamebit.AgentSimulator;553;2025-05-02 11:39 UTC;424;78.25;0;0
AI Roommate;AI Roommate v265+4.1 -VRP v76;com.Raetae.AIRoommate;265;2025-06-29 20:55 UTC;1211;95.82;0;0
AimVR;AimVR v15+0.1.15 -VRP v76;app.pinbit.aimvr;15;2025-05-02 11:39 UTC;169;73.56;0;0
Air Brigade;Air Brigade v192+1.92 -VRP v76;com.OnlyHumanStudios.AirBrigadeVR;192;2025-05-02 11:39 UTC;1135;65.84;0;0
Air Brigade 2;Air Brigade 2 v38+0.38 -VRP v74;com.OnlyHuman.AirCombat2;38;2025-06-22 09:06 UTC;101;82.34;0;0
Air Traffic BLITZ;Air Traffic BLITZ v10+1.1 -VRP v76;com.reflektsoft.AirTrafficBlitzQ;10;2025-05-02 11:39 UTC;355;33.98;0;0
Airport Ground Handling Simulator VR;Airport Ground Handling Simulator VR v25+1.4.3 - 2023-04-14_17-33 - 16fe2009 -VRP v76;com.AVIAR.AGHS;25;2025-05-02 11:39 UTC;2481;78.80;0;0
AirRacer;AirRacer v32+2.0 -VRP v76;com.KAMPAI.AirRacer;32;2025-05-02 11:39 UTC;253;58.02;0;0
Airspace Defender;Airspace Defender v213+0.1 -VRP v76;com.notsuspicious.airspacedefender;213;2025-05-02 11:39 UTC;134;71.95;0;0
Akpala;Akpala v322+1.374 -VRP v76;com.RedefineArts.AkpalaVR;322;2025-05-02 11:39 UTC;5805;52.60;0;0
Alex and the Jets;Alex and the Jets v2138+0.21 -VRP v76;com.HOOPOStudios.Alex;2138;2025-06-05 18:16 UTC;215;83.36;0;0
Alien Squatters;Alien Squatters v4+0.2 -VRP v76;com.ReedGaming.AlienSquatters;4;2025-05-02 11:40 UTC;239;33.52;0;0
Alien- Rogue Incursion;Alien- Rogue Incursion v523063+MN-523063 -VRP v74;com.Survios.Midnight;523063;2025-06-22 09:06 UTC;13874;97.89;0;0
Alienation;Alienation v23+1.293 -VRP v76;com.fiftyonealiens.alienationgame;23;2025-05-02 11:40 UTC;241;37.66;0;0
All Hail the Cook-o-tron;All Hail the Cook-o-tron v10+1.2.5 -VRP v76;com.SlapJak.CookOtron;10;2025-05-02 11:40 UTC;846;65.38;0;0
All In One Sports VR;All In One Sports VR v86+1.7.0 -VRP v76;com.Appnori.AllInOneSports;86;2025-07-03 11:11 UTC;1044;99.22;0;0
All In One Summer Sports VR;All In One Summer Sports VR v52+0.5.1 -VRP v76;com.Appnori.SummerSports;52;2025-05-02 11:40 UTC;820;91.40;0;0
Almas Disk Episode 01 - Atom;Almas Disk Episode 01 - Atom v28+V2-0.97 -VRP v76;com.Raumkapsel.AlmasDisk_Episode1;28;2025-05-02 11:40 UTC;108;18.02;0;0
AlpineAcceleration;AlpineAcceleration v11+1.1 -VRP v76;com.sai.AlpineAcceleration;11;2025-05-02 11:40 UTC;133;27.08;0;0
ALTDEUS- Beyond Chronos;ALTDEUS- Beyond Chronos v538+1.1.538 -VRP v76;com.MyDearest.Altdeus;538;2025-05-02 11:37 UTC;2044;60.37;0;0
Amber of Jinn;Amber of Jinn v7+7 -VRP v76;com.StixorTech.TheGhostHunter;7;2025-05-02 11:40 UTC;656;42.44;0;0
Ambulance Life;Ambulance Life v3+1.0.2 -VRP v76;com.initiumStudio.AmbulanceLife;3;2025-05-02 11:40 UTC;585;70.99;0;0
Ambulate to Wheelchair Simulator;Ambulate to Wheelchair Simulator v11+1.0 -VRP v76;com.Holopundits.AmbulatetoWheelchairSimulator;11;2025-05-02 11:40 UTC;212;27.86;0;0
Amid Evil;Amid Evil v131+1.34 -VRP v76;aei.AndreElijahImmersive.AmidEvilVR;131;2025-05-02 11:41 UTC;4242;58.11;0;0
Anatomy of a Chicken;Anatomy of a Chicken v2+1.0 -VRP v76;com.poultryhub.anatomyofachicken;2;2025-05-02 11:41 UTC;97;39.31;0;0
Ancient Dungeon;Ancient Dungeon v200+ea0.1.6.6 -VRP v76;de.erthu.ancientdungeonfull;200;2025-05-02 11:41 UTC;247;92.92;0;0
Andromeda Sports;Andromeda Sports v34+1.1.4 -VRP v76;com.kinerse.andromedaSports.apk;34;2025-05-02 11:41 UTC;253;41.24;0;0
Angry Birds VR- Isle of Pigs;Angry Birds VR- Isle of Pigs v307268513+3.7.4.268513-release -VRP v76;com.resolutiongames.abvriop.santacruz;307268513;2025-04-14 09:35 UTC;560;97.24;0;0
Angry Birds VR- Isle of Pigs (Quest 1);Angry Birds VR- Isle of Pigs (Quest 1) v305100058+3.5.100058 -VRP;com.resolutiongames.abvriop.santacruz;305100058;2024-03-07 12:43 UTC;358;79.68;0;0
Angry Universe VR;Angry Universe VR v40+0.22.4 -VRP v76;com.rottaca.AngryUniverse;40;2025-05-02 11:41 UTC;214;54.39;0;0
Animal Keeper;Animal Keeper v3+1.0.2 -VRP v76;com.FrenchIndie.AnimalKeeper;3;2025-06-21 19:57 UTC;297;79.72;0;0
Animalz Mixed Reality;Animalz Mixed Reality v608+1.608 -VRP v76;com.ZOSUStudiosLLC.ZOSUhandsc;608;2025-05-02 11:41 UTC;2627;50.16;0;0
Anime Fight Club - Simulator (Early Access);Anime Fight Club - Simulator (Early Access) v1+1.0 -VRP v76;com.vrmonkey.isekai;1;2025-05-02 11:41 UTC;523;75.82;0;0
Another Door- Escape Room;Another Door- Escape Room v41+1.0.8 -VRP v76;com.skonec.escaperoomonline;41;2025-05-02 11:41 UTC;2055;82.34;0;0
Anshar 2- Hyperdrive;Anshar 2- Hyperdrive v196+196 -VRP v76;com.ozwe.aw2h;196;2025-05-02 11:42 UTC;3826;50.99;0;0
ANSUZ;ANSUZ v135+1.0.3 -VRP v76;com.characterBank.suzunari_work;135;2025-05-02 11:37 UTC;233;32.46;0;0
Antiprism;Antiprism v6+1.04 -VRP v76;com.ZeroFun.Antiprism;6;2025-05-02 11:42 UTC;759;20.18;0;0
anyWR;anyWR v2028+5.38 -VRP v76;com.anywr.anywr;2028;2025-05-02 11:57 UTC;149;55.08;0;0
Apex Construct;Apex Construct v64+64.0 -VRP v76;com.fasttravelgames.apexconstruct;64;2025-05-02 11:42 UTC;1370;64.74;0;0
Apollo 11;Apollo 11 v22+2.3 -VRP v76;com.immersivevreducation.Apollo11QuestFinal;22;2025-05-02 11:42 UTC;1868;74.53;0;0
Aqua Glide;Aqua Glide v58+0.0.3.9 -VRP v76;com.HorizonForge.AquaGlide;58;2025-05-02 11:42 UTC;3197;66.44;0;0
Aquapark Tycoon;Aquapark Tycoon v2+0.2 -VRP v76;com.EstiSoft.AquaparkTycoon;2;2025-05-26 13:53 UTC;62;47.54;0;0
Aquarium Adventures;Aquarium Adventures v5+1.02 -VRP v76;com.framesixtylabs.aquarium;5;2025-05-02 11:42 UTC;732;71.31;0;0
Aquascape;Aquascape v55+0.4.3 -VRP v76;com.DevsUnitedGames.Aquascape;55;2025-05-02 11:42 UTC;248;59.95;0;0
Arashi- Castles of Sin - Final Cut;Arashi- Castles of Sin - Final Cut v1047+1.0.1047.29509-rc -VRP v76;com.SDI.arashi;1047;2025-05-02 11:42 UTC;5727;76.60;0;0
Arcade;Arcade v28000+12.0 -VRP v76;org.neopunk.arcade;28000;2025-05-02 11:42 UTC;72;55.40;0;0
Arcade Paradise VR;Arcade Paradise VR v1012+1.026 -VRP v76;com.nosebleed.ArcadeParadiseVR;1012;2025-05-02 11:42 UTC;2208;87.77;0;0
Arcade Ranger;Arcade Ranger v155+1.011 -VRP v76;com.Pumpkinvrar.Retroverse;155;2025-05-16 12:09 UTC;1006;53.66;0;0
Arcade Ranger (MR-Fix);Arcade Ranger (MR-Fix) v155+1.011 -VRP v76;com.mrf.Pumpkinvrar.Retroverse;155;2025-05-16 12:09 UTC;1006;65.01;0;0
Arcane Horizon;Arcane Horizon v82+1.0 -VRP v76;com.DefaultCompany.ArcaneHorizon;82;2025-05-02 11:42 UTC;1117;24.55;0;0
Arcaxer;Arcaxer v220+1.44.3 -VRP v76;com.Overrungames.Arcaxer;220;2025-05-02 11:43 UTC;1190;36.60;0;0
Archery Land;Archery Land v12+1.0 -VRP v76;com.Looksten.ArcheryLand;12;2025-05-02 11:43 UTC;603;33.98;0;0
Archery Master;Archery Master v4+1.0 -VRP v76;com.FifthScape.ArcheryMaster;4;2025-05-30 22:33 UTC;594;72.37;0;0
Arcsmith;Arcsmith v128+1.128 -VRP v76;com.BithellGames.Arcsmith;128;2025-05-02 11:43 UTC;702;24.83;0;0
AREA MAN LIVES;AREA MAN LIVES v194+1.2.4 -VRP v74;com.cyanventures.AreaManLives;194;2025-06-22 09:06 UTC;483;67.03;0;0
Aria;Aria v10+1.2 -VRP v76;com.BlueRibbon.Aria;10;2025-05-02 11:43 UTC;567;31.91;0;0
Arizona Sunshine;Arizona Sunshine v21876+1.6 -VRP v76;com.vertigogames.azsq;21876;2025-05-02 11:44 UTC;4537;91.86;0;0
Arizona Sunshine 2;Arizona Sunshine 2 v112974+1.9440.85503 -VRP v76;com.vertigogames.azs2;112974;2025-05-02 11:43 UTC;23853;98.94;0;0
Arizona Sunshine Remake;Arizona Sunshine Remake v6619+1.2676.85461 -VRP;com.vertigogames.azs1hd;6619;2024-11-20 20:30 UTC;20730;98.67;0;0
Arizona Sunshine Remake;Arizona Sunshine Remake v6619+1.2676.85461 -VRP v76;com.vertigogames.azs1hd;6619;2025-05-02 11:44 UTC;20730;98.67;0;0
ARK and ADE;ARK and ADE v68+1.3.1 -VRP v76;com.CASTELLOInc.ARK_ADE_full;68;2025-05-02 11:37 UTC;2029;43.03;0;0
Arrow Song2;Arrow Song2 v40+40 -VRP v76;com.hbx.Arrow2;40;2025-05-02 11:44 UTC;1092;37.24;0;0
Arrowhead - Medieval Archery VR;Arrowhead - Medieval Archery VR v10+1.0.5 -VRP v76;com.kilogrames.arrowheadmedievalarcheryvr;10;2025-05-02 11:44 UTC;264;68.00;0;0
Arrows;Arrows v2+1.2.7 -VRP v76;com.aura.Arrows;2;2025-05-02 11:44 UTC;610;38.76;0;0
Art of Combat;Art of Combat v14+1.0.3a -VRP v74;com.FrogandSkull.ArtofCombatDemo;14;2025-06-22 09:06 UTC;416;68.64;0;0
Art of Combat- Fighting Dragons Championship;Art of Combat- Fighting Dragons Championship v22+1.0.4a -VRP v76;com.FrogandSkull.ArtofCombat;22;2025-05-02 11:49 UTC;410;44.28;0;0
Art Plunge;Art Plunge v202107012+202107012 -VRP v76;com.spaceplunge.artplungeoq;202107012;2025-05-02 11:44 UTC;339;68.37;0;0
Art Studio VR;Art Studio VR v70+0.2.961 -VRP v76;com.DanielyAna.ArtstudioVR;70;2025-05-02 11:49 UTC;127;51.13;0;0
Artax;Artax v14+1.4 -VRP v76;com.polyraw.artaxhd;14;2025-05-02 11:49 UTC;299;38.57;0;0
Arthur Owls Word Block;Arthur Owls Word Block v10209+1.2.9 -VRP v76;com.deeperbeige.wordblock;10209;2025-05-06 08:25 UTC;256;16.87;0;0
ARTO;ARTO v49+1.4 -VRP v76;com.kyb3r.ARTO;49;2025-06-25 06:10 UTC;1193;77.47;0;0
Asgards Wrath 2;Asgards Wrath 2 v5513+12.1.1689309 -VRP v76;com.Sanzaru.Wrath2;5513;2025-05-02 11:49 UTC;33507;98.57;0;0
Asgards Wrath 2 (Language Packs Only);Asgards Wrath 2 (Language Packs Only) v5513+12.1.1689309 -VRP v76;com.Sanzaru.Wrath2;5513;2025-05-02 11:49 UTC;2527;98.57;0;0
Ashen Arrows;Ashen Arrows v52+1.0 -VRP v76;com.RustyPipesGames.Ashen;52;2025-05-02 11:50 UTC;3173;27.54;0;0
Ashtar UFO;Ashtar UFO v1+1.0 -VRP v76;com.test.mj12;1;2025-05-02 11:53 UTC;460;28.46;0;0
Asphalt Fury;Asphalt Fury v7+7 -VRP v76;com.EstiSoft.AsphaltFury;7;2025-05-02 11:53 UTC;255;41.98;0;0
Assassins Creed Nexus VR;Assassins Creed Nexus VR v207706+MAIN.450412.207706.final -VRP v76;com.Ubisoft.ACNexusVR;207706;2025-05-02 11:53 UTC;16981;99.31;0;0
Assemble!;Assemble! v62+1.1.0 -VRP v76;com.godot.assemble;62;2025-07-05 08:51 UTC;437;87.54;0;0
Astra;Astra v641+1.0.14 -VRP v76;com.AtlasV.Astra;641;2024-07-15 20:13 UTC;0;00.00;0;0
